FID	IID	C1	C2	C3	C4	PRS
1328	NA06984	-0.0471041	0.0515067	0.00549018	-0.000697967	0.000410877
1328	NA06989	-0.0476755	0.0513113	0.01297	-0.0133687	-0.00125666
1330	NA12335	-0.045998	0.053225	0.0115297	-0.00272492	0.0016988
1330	NA12343	-0.045406	0.0521796	0.000400246	-0.00158123	-0.00079297
1334	NA10846	-0.0459947	0.052025	0.000427168	-0.00509492	-0.00135097
1334	NA10847	-0.0466803	0.0543859	0.00812995	-0.00644009	0.000216847
1340	NA07022	-0.0454518	0.0541689	0.00782514	-0.00366722	-0.000327453
1340	NA07029	-0.0474981	0.0519607	0.00836146	-0.00431301	0.00142877
1340	NA07056	-0.0469123	0.0523677	0.00484754	-0.00680936	6.33287e-05
1341	NA06993	-0.045113	0.0536179	0.00654708	-0.00381813	-0.00117993
1341	NA07055	-0.0463312	0.0522535	0.00656785	-0.0081167	-0.00203576
1344	NA10850	-0.0474204	0.0527411	0.00790236	-0.000727991	-0.000228323
1344	NA12056	-0.0476767	0.053464	0.00813497	-0.00339453	-6.27841e-05
1344	NA12057	-0.0464534	0.0535564	0.0127014	-0.00609769	-0.000733024
1345	NA07345	-0.0452469	0.0521288	0.00782313	-0.00274139	0.00284825
1345	NA07346	-0.0486312	0.0536496	0.0160685	-0.00600849	-0.000424102
1345	NA07347	-0.0462674	0.05532	0.00273635	-0.00156495	-0.00159698
1345	NA07357	-0.0481163	0.0516959	0.000817173	-0.00369388	0.00159919
1346	NA12043	-0.0488167	0.0531639	0.00985321	-0.00828938	0.000315724
1346	NA12044	-0.0477834	0.054167	0.0103529	-0.00628863	0.00297466
1346	NA12045	-0.0470821	0.0525988	0.00324239	-0.00220538	0.00285153
1347	NA11881	-0.046419	0.0525264	0.00915636	-0.00472363	0.00189091
1349	NA10853	-0.0459067	0.0512841	0.00261452	-0.00381388	-0.000787955
1349	NA10854	-0.0459667	0.0500706	0.0111145	-0.00471468	0.000182918
1350	NA10855	-0.0458636	0.0533385	0.00103964	-0.010738	-0.00262941
1350	NA11830	-0.0480052	0.0522052	0.0123526	-0.00882021	-0.00377496
1353	NA12375	-0.0450087	0.0525513	0.00253405	-0.00860232	0.00117933
1353	NA12376	-0.0460293	0.0549408	0.00627719	-0.00244167	-0.00189606
1354	NA12386	-0.046967	0.0535798	0.000176168	-0.00377132	-0.00103346
1355	NA12413	-0.0462982	0.0526739	-0.000348644	-0.00121851	0.000239822
1358	NA12716	-0.0479237	0.0543344	0.0127054	-0.00593892	0.00324069
1358	NA12718	-0.0457108	0.0524419	0.00282896	0.00395699	0.00119184
1362	NA11992	-0.0454351	0.0553862	0.00133523	-0.00876862	0.000956715
1362	NA11993	-0.045577	0.0540149	0.00667338	-0.00655704	0.000599152
1362	NA11994	-0.0468263	0.0513751	0.00411066	0.00200908	-0.000236961
1375	NA12234	-0.0460411	0.0511128	0.00202903	-0.00265857	0.00125601
1375	NA12264	-0.0449424	0.0531503	0.0076506	-0.00350027	0.00176322
1377	NA10865	-0.0467535	0.0519485	0.00775033	-0.00531563	0.00188257
1377	NA11893	-0.0477838	0.051364	0.00419839	-0.00531031	0.000750908
1408	NA10830	-0.0469601	0.0527816	0.0119935	-0.00682496	-0.00166373
1408	NA12155	-0.0472288	0.0538805	0.0106539	-0.00752539	0.00365218
1416	NA12248	-0.0471244	0.0512912	0.0121616	-0.00281169	0.00048057
1416	NA12249	-0.0488953	0.0498959	0.0204774	-0.00355088	0.00100283
1418	NA10836	-0.0458055	0.0531033	0.00420614	-0.00400861	0.00184553
1418	NA12273	-0.0440752	0.0549212	-0.00298051	-0.00826291	0.00177323
1420	NA10838	-0.0462989	0.0524009	0.00851739	-0.00667582	0.00191299
1420	NA12005	-0.0474407	0.0546322	0.010654	-0.00194038	-0.000344162
1420	NA12006	-0.0476405	0.0537994	0.00753657	-0.00252055	-0.000434093
1421	NA12282	-0.0454237	0.0523609	0.00101909	-0.00079013	0.003263
1421	NA12283	-0.0448548	0.051358	0.00155901	-0.00481111	0.000800211
1421	NA12286	-0.0460923	0.0492135	0.00361802	-0.00170858	0.00207532
1423	NA10843	-0.0456013	0.0540033	0.00936689	-0.00666719	0.000106065
1423	NA11917	-0.0450371	0.0506188	0.00339023	-0.00181478	-0.000383634
1423	NA11918	-0.0479616	0.0517073	0.00164128	-0.00593555	0.00161658
1424	NA11930	-0.0455041	0.0506667	0.00904013	-0.0108555	-0.00425243
1424	NA11931	-0.0466642	0.0529486	0.00792894	-0.00902278	0.000151968
1444	NA12740	-0.0452125	0.0526696	0.00763354	-0.00622911	0.00217893
1444	NA12748	-0.0477081	0.0502275	0.00675096	-0.00349305	-0.00214736
1444	NA12749	-0.0475116	0.0536933	0.00281232	-0.0122299	0.00144498
1447	NA12752	-0.0460806	0.051417	0.00554924	-0.00672766	-0.00146397
1447	NA12762	-0.0475228	0.0546909	0.00573842	-0.00953931	-0.00234782
1447	NA12763	-0.0459138	0.0526827	0.00515696	-0.0126406	0.00292385
1451	NA12767	-0.0490071	0.0542337	0.00742607	-0.00683111	0.00128814
1451	NA12775	-0.0484573	0.0547078	0.0070602	-0.000880512	0.00269567
1451	NA12776	-0.0457285	0.0523209	0.0241678	-0.00020737	0.00352612
1454	NA12812	-0.0467002	0.0533494	0.00617878	-0.00797524	-0.000438104
1454	NA12815	-0.0465461	0.0521604	0.00844161	-0.00983517	0.00294979
1456	NA12818	-0.0461634	0.0525343	0.0043846	-0.000798567	-0.00320171
